 MUN,AÑO,SEXO,NOM_ENT,EDAD_QUIN,PORCENTAJE
"Álvaro Obregón","2022","Hombres","Ciudad de México","65 y más","0.400733344356941"
"Álvaro Obregón","2023","Hombres","Ciudad de México","Hasta 4 años","0.232259440083911"
"Álvaro Obregón","2023","Hombres","Ciudad de México","5 a 9 años","0.240489105283735"
"Álvaro Obregón","2023","Hombres","Ciudad de México","10 a 14 años","0.261520471905506"
"Álvaro Obregón","2023","Hombres","Ciudad de México","15 a 19 años","0.287491867908744"
"Álvaro Obregón","2023","Hombres","Ciudad de México","20 a 24 años","0.309972904552165"
"Álvaro Obregón","2023","Hombres","Ciudad de México","25 a 29 años","0.33068088324603"
"Álvaro Obregón","2023","Hombres","Ciudad de México","30 a 34 años","0.340494034161809"
"Álvaro Obregón","2023","Hombres","Ciudad de México","35 a 39 años","0.325963880021741"
"Álvaro Obregón","2023","Hombres","Ciudad de México","40 a 44 años","0.296669394276569"
"Álvaro Obregón","2023","Hombres","Ciudad de México","45 a 49 años","0.275883356427692"
"Álvaro Obregón","2023","Hombres","Ciudad de México","50 a 54 años","0.256937284375523"
"Álvaro Obregón","2023","Hombres","Ciudad de México","55 a 59 años","0.229560823582072"
"Álvaro Obregón","2023","Hombres","Ciudad de México","60 a 64 años","0.198760911275957"
"Álvaro Obregón","2023","Hombres","Ciudad de México","65 y más","0.415687303053964"
"Álvaro Obregón","2024","Hombres","Ciudad de México","Hasta 4 años","0.228331990488906"
"Álvaro Obregón","2024","Hombres","Ciudad de México","5 a 9 años","0.236883122457575"
"Álvaro Obregón","2024","Hombres","Ciudad de México","10 a 14 años","0.255684434838362"
"Álvaro Obregón","2024","Hombres","Ciudad de México","15 a 19 años","0.282377380120954"
"Álvaro Obregón","2024","Hombres","Ciudad de México","20 a 24 años","0.30599638907494"
"Álvaro Obregón","2024","Hombres","Ciudad de México","25 a 29 años","0.32503243841173"
"Álvaro Obregón","2024","Hombres","Ciudad de México","30 a 34 años","0.339597307634182"
"Álvaro Obregón","2024","Hombres","Ciudad de México","35 a 39 años","0.328799407658058"
"Álvaro Obregón","2024","Hombres","Ciudad de México","40 a 44 años","0.299468466108008"
"Álvaro Obregón","2024","Hombres","Ciudad de México","45 a 49 años","0.274787551876867"
"Álvaro Obregón","2024","Hombres","Ciudad de México","50 a 54 años","0.258847794769256"
"Álvaro Obregón","2024","Hombres","Ciudad de México","55 a 59 años","0.232724924951242"
"Álvaro Obregón","2024","Hombres","Ciudad de México","60 a 64 años","0.202633882781754"
"Álvaro Obregón","2024","Hombres","Ciudad de México","65 y más","0.430954695320373"
"Álvaro Obregón","2025","Hombres","Ciudad de México","Hasta 4 años","0.224428237544037"
"Álvaro Obregón","2025","Hombres","Ciudad de México","5 a 9 años","0.233775211332388"
"Álvaro Obregón","2025","Hombres","Ciudad de México","10 a 14 años","0.249611271239989"
"Álvaro Obregón","2025","Hombres","Ciudad de México","15 a 19 años","0.277080615071222"
"Álvaro Obregón","2025","Hombres","Ciudad de México","20 a 24 años","0.302095537727816"
"Álvaro Obregón","2025","Hombres","Ciudad de México","25 a 29 años","0.319590293223758"
