persona_id,hogar_id,vivienda_id,upm_diseno,estrato_diseno,anio,cobertura,edad,sexo_codigo,sexo,grupo_edad,factor,asiste_servicio_educativo_cuidado,razon_no_asiste_codigo,razon_no_asiste,horas_diarias_servicio,pago_mensual_servicio_pesos,pago_mensual_topado_98000,modulo_0a5_aplicable,recibio_cuidado_dentro_hogar,recibio_cuidado_otro_hogar,cuidado_otro_hogar_remunerado,pago_semanal_cuidado_externo_pesos,pago_semanal_topado_98000,necesita_mas_cuidado_modulo_0a5,complementaria_con_servicio_educativo_cuidado,cuidador_principal_parentesco_codigo,cuidador_principal_parentesco,cuidador_principal_sexo_codigo,cuidador_principal_edad,n_integrantes,n_ninos_0a5,n_adultos_18mas,barrera_economica_distancia_horario,necesidad_y_preferencia_servicio,P3_10,P3_11,P3_12,P3_14,PN_C0005,P4_16,P4_18,P4_18A,P4_19,P4_21,P4_22,P4_24,P4_25_2,cuidador_id,cuidador_cpea_codigo,cuidador_participa_mercado_laboral
46922107,469221,46922,00469,0069,2022,nacional,5,1,hombre,3-5,6160,1,,,4.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,26.0,7,2,5,,0.0,1,,4.0,0.0,1,1.0,04,1.0,2.0,,,2.0,,46922104,2.0,0.0
47004106,470041,47004,00470,0069,2022,nacional,2,1,hombre,0-2,7370,0,3.0,No hay centros o quedan lejos,,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,35.0,6,1,2,1.0,0.0,2,3.0,,,1,1.0,01,1.0,2.0,,,2.0,,47004101,2.0,0.0
47011105,470111,47011,00470,0069,2022,nacional,2,2,mujer,0-2,7370,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,36.0,5,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,47011102,2.0,0.0
47012105,470121,47012,00470,0069,2022,nacional,1,2,mujer,0-2,7370,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,24.0,5,1,3,0.0,0.0,2,1.0,,,1,1.0,03,1.0,2.0,,,2.0,,47012103,2.0,0.0
47013103,470131,47013,00470,0069,2022,nacional,2,1,hombre,0-2,7370,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,19.0,3,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,47013102,2.0,0.0
47021105,470211,47021,00470,0069,2022,nacional,1,2,mujer,0-2,7370,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,1.0,0.0,,0,1.0,1.0,1.0,Madre,2.0,23.0,5,1,2,0.0,1.0,2,1.0,,,1,1.0,02,1.0,1.0,2.0,,1.0,1.0,47021102,2.0,0.0
47102103,471021,47102,00471,0075,2022,nacional,3,2,mujer,3-5,2734,0,2.0,No puede pagar los gastos escolares,,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,28.0,3,1,2,1.0,0.0,2,2.0,,,1,1.0,01,1.0,2.0,,,2.0,,47102101,1.0,1.0
47205102,472051,47205,00472,0076,2022,nacional,0,2,mujer,0-2,1915,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,5.0,Tía,2.0,20.0,2,1,1,0.0,0.0,2,1.0,,,1,1.0,01,5.0,2.0,,,2.0,,47205101,2.0,0.0
47305103,473051,47305,00473,0075,2022,nacional,1,2,mujer,0-2,2529,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,30.0,3,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,47305102,1.0,1.0
47404104,474041,47404,00474,0075,2022,nacional,4,2,mujer,3-5,2099,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,1.0,0.0,,0,0.0,,1.0,Madre,2.0,32.0,4,1,1,0.0,0.0,2,1.0,,,1,1.0,01,1.0,1.0,2.0,,2.0,,47404101,1.0,1.0
