Alcaldia,Fecha,Categoria,Valor
Miguel Hidalgo,2019-09-30,Mujeres,31.5
Miguel Hidalgo,2019-12-31,Hombres,33.8
Miguel Hidalgo,2019-12-31,Mujeres,33.7
Miguel Hidalgo,2020-09-30,Hombres,27.3
Miguel Hidalgo,2020-09-30,Mujeres,34.3
Miguel Hidalgo,2020-12-31,Hombres,18.3
Miguel Hidalgo,2020-12-31,Mujeres,39.7
Miguel Hidalgo,2021-06-30,Hombres,21.5
Miguel Hidalgo,2021-06-30,Mujeres,35.1
Miguel Hidalgo,2021-09-30,Hombres,25.8
Miguel Hidalgo,2021-09-30,Mujeres,33.8
Miguel Hidalgo,2021-12-31,Hombres,26.7
Miguel Hidalgo,2021-12-31,Mujeres,43.2
Miguel Hidalgo,2022-03-31,Hombres,22.7
Miguel Hidalgo,2022-03-31,Mujeres,33.5
Miguel Hidalgo,2022-06-30,Hombres,19.3
Miguel Hidalgo,2022-06-30,Mujeres,28.2
Miguel Hidalgo,2022-09-30,Hombres,23.9
Miguel Hidalgo,2022-09-30,Mujeres,28.6
Miguel Hidalgo,2022-12-31,Hombres,20.4
Miguel Hidalgo,2022-12-31,Mujeres,26.2
Miguel Hidalgo,2023-03-31,Hombres,25.6
Miguel Hidalgo,2023-03-31,Mujeres,20.5
Miguel Hidalgo,2023-06-30,Hombres,20.0
Miguel Hidalgo,2023-06-30,Mujeres,19.9
Miguel Hidalgo,2023-09-30,Hombres,23.5
Miguel Hidalgo,2023-09-30,Mujeres,20.7
Miguel Hidalgo,2023-12-31,Hombres,26.8
Miguel Hidalgo,2023-12-31,Mujeres,24.4
Miguel Hidalgo,2024-03-31,Hombres,13.2
Miguel Hidalgo,2024-03-31,Mujeres,20.2
Miguel Hidalgo,2024-06-30,Hombres,16.1
Miguel Hidalgo,2024-06-30,Mujeres,32.9
Miguel Hidalgo,2024-09-30,Hombres,19.8
Miguel Hidalgo,2024-09-30,Mujeres,31.8
Cuauhtémoc,2017-03-31,Hombres,42.4
Cuauhtémoc,2017-03-31,Mujeres,33.3
Cuauhtémoc,2017-06-30,Hombres,31.8
Cuauhtémoc,2017-06-30,Mujeres,40.1
Cuauhtémoc,2017-09-30,Hombres,25.9
Cuauhtémoc,2017-09-30,Mujeres,40.9
Cuauhtémoc,2017-12-31,Hombres,35.6
Cuauhtémoc,2017-12-31,Mujeres,45.2
Cuauhtémoc,2018-03-31,Hombres,28.2
Cuauhtémoc,2018-03-31,Mujeres,48.5
Cuauhtémoc,2018-06-30,Hombres,28.6
Cuauhtémoc,2018-06-30,Mujeres,39.2
Cuauhtémoc,2018-09-30,Hombres,33.3
Cuauhtémoc,2018-09-30,Mujeres,39.3
Cuauhtémoc,2018-12-31,Hombres,31.6
Cuauhtémoc,2018-12-31,Mujeres,51.9
Cuauhtémoc,2019-03-31,Hombres,24.2
Cuauhtémoc,2019-03-31,Mujeres,58.0
Cuauhtémoc,2019-06-30,Hombres,33.1
Cuauhtémoc,2019-06-30,Mujeres,46.3
Cuauhtémoc,2019-09-30,Hombres,26.6
Cuauhtémoc,2019-09-30,Mujeres,39.2
Cuauhtémoc,2019-12-31,Hombres,30.7
